"";"id";"Shape";"Scale";"R2";"n";"Cat1";"Cat2";"Cat3"
"1";"GMC-BQA-100";1,04613284616426;1936,31256099691;0,970505747492595;35;"GMC-";"BQA-";100
"2";"GMC-BQA-101";0,780964517487291;1655,15490581243;0,976993568372101;30;"GMC-";"BQA-";101
"3";"GMC-BQA-102";0,935121742226923;2305,14149825423;0,978681056015564;33;"GMC-";"BQA-";102
"4";"GMC-BQA-103";0,951738353930953;1380,54104826639;0,957840555014521;28;"GMC-";"BQA-";103
"5";"GMC-BQA-104";1,02328437646332;2297,64890961197;0,978947746161468;31;"GMC-";"BQA-";104
"6";"GMC-BQA-105";0,980593690599579;2171,08630181777;0,980803367087385;34;"GMC-";"BQA-";105
"7";"GMC-CLO-100";1,12420941289102;5014,58065775745;0,984353521038141;30;"GMC-";"CLO-";100
"8";"GMC-CLO-101";1,04853022910425;3960,1476002097;0,975577135280408;32;"GMC-";"CLO-";101
"9";"GMC-CLO-102";0,946873465213334;4911,33935204891;0,979396609823439;33;"GMC-";"CLO-";102
"10";"GMC-CLO-103";1,60188617841538;4759,4993186555;0,970498049204911;35;"GMC-";"CLO-";103
"11";"GMC-CLO-104";0,934382769239091;3614,60761491624;0,967464298900363;35;"GMC-";"CLO-";104
"12";"GMC-CLO-105";1,10603065624039;4087,68391712788;0,969550200895198;35;"GMC-";"CLO-";105
"13";"GMC-MED-100";0,998828170186093;4813,25084825303;0,975875576259426;29;"GMC-";"MED-";100
"14";"GMC-MED-101";0,854805796673672;3663,68246118789;0,963744626267026;35;"GMC-";"MED-";101
"15";"GMC-MED-102";1,16867126403629;4431,76678232727;0,946402530498881;36;"GMC-";"MED-";102
"16";"GMC-MED-103";0,924508677040258;3163,59741346711;0,967171319901392;36;"GMC-";"MED-";103
"17";"GMC-MED-104";0,957980480919819;3770,00374910279;0,970673182783744;31;"GMC-";"MED-";104
"18";"GMC-MED-105";1,11280203343139;3785,97435604343;0,973552981525317;37;"GMC-";"MED-";105
"19";"MERCBOG-100";2,55285307972709;2672,12817039116;0,962639246814779;32;"MERC";"BOG-";100
"20";"MERCBOG-101";3,29795174091415;3014,87838692738;0,976842145411265;35;"MERC";"BOG-";101
"21";"MERCBOG-102";4,08469532429638;4260,65787009534;0,965080024584534;30;"MERC";"BOG-";102
"22";"MERCBOG-103";3,74592203134902;3129,28395339459;0,975816045830209;35;"MERC";"BOG-";103
"23";"MERCBOG-104";3,21581440947782;2653,02812654348;0,975317627976543;28;"MERC";"BOG-";104
"24";"MERCBOG-105";6,2045744598319;5334,30008009547;0,966235515834234;29;"MERC";"BOG-";105
"25";"MERCBQA-100";5,54807766872348;1805,33045345806;0,975848665506129;38;"MERC";"BQA-";100
"26";"MERCBQA-101";5,75673942879641;1641,31487822346;0,980120650224857;33;"MERC";"BQA-";101
"27";"MERCBQA-102";6,26636318178501;2104,22028107113;0,975182249135861;29;"MERC";"BQA-";102
"28";"MERCBQA-103";6,29366178501672;1609,06110556502;0,985608717585031;35;"MERC";"BQA-";103
"29";"MERCBQA-104";6,59829159614101;2064,52685560937;0,969973090504235;35;"MERC";"BQA-";104
"30";"MERCBQA-105";5,46106549915061;1712,04053154992;0,975236733818068;31;"MERC";"BQA-";105
"31";"MERCCLO-100";3,93101269816206;2254,57487535527;0,981748298021944;32;"MERC";"CLO-";100
"32";"MERCCLO-101";4,5845062729584;2803,89952935375;0,971011203025366;37;"MERC";"CLO-";101
"33";"MERCCLO-102";7,45126434121927;4241,78107445429;0,981331212899922;29;"MERC";"CLO-";102
"34";"MERCCLO-103";4,95130226031816;2619,27434109374;0,97828875536471;34;"MERC";"CLO-";103
"35";"MERCCLO-104";7,32350291268383;4348,73574216597;0,967187771469481;36;"MERC";"CLO-";104
"36";"MERCCLO-105";4,69077217515689;2694,66882884168;0,974225037202622;36;"MERC";"CLO-";105
"37";"MERCMED-100";4,84239526591812;2670,54814574041;0,975033584675009;35;"MERC";"MED-";100
"38";"MERCMED-101";4,32674977104347;2218,14794459841;0,975155496591173;37;"MERC";"MED-";101
"39";"MERCMED-102";3,15370049626052;2101,81923894642;0,974687530806155;30;"MERC";"MED-";102
"40";"MERCMED-103";4,49426099995746;2108,90305161824;0,98443452614595;31;"MERC";"MED-";103
"41";"MERCMED-104";6,83438635274378;3649,2165999319;0,956001148262669;34;"MERC";"MED-";104
"42";"MERCMED-105";7,95370983613369;3567,51690922817;0,973195463134241;30;"MERC";"MED-";105
"43";"VOLVBOG-100";0,491554754662189;1125,10072864369;0,96070890644551;31;"VOLV";"BOG-";100
"44";"VOLVBOG-101";0,503137757560769;603,670668777508;0,973350405599829;32;"VOLV";"BOG-";101
"45";"VOLVBOG-102";0,61553871985022;993,384607089442;0,983945768324408;30;"VOLV";"BOG-";102
"46";"VOLVBOG-103";0,561563267717881;739,591182951971;0,970279599149364;39;"VOLV";"BOG-";103
"47";"VOLVBOG-104";0,535485942121866;703,919340176737;0,968106699255598;41;"VOLV";"BOG-";104
"48";"VOLVBOG-105";0,572317105526785;752,245818064602;0,961419267998835;35;"VOLV";"BOG-";105
"49";"VOLVBQA-100";0,541750678903293;310,637557839989;0,98055145615053;35;"VOLV";"BQA-";100
"50";"VOLVBQA-101";0,662148227684182;250,02485611581;0,979138929920101;32;"VOLV";"BQA-";101
"51";"VOLVBQA-102";0,622914910034904;298,87667327267;0,958337906944053;31;"VOLV";"BQA-";102
"52";"VOLVBQA-103";0,699906191210614;311,943810543892;0,953662833381578;35;"VOLV";"BQA-";103
"53";"VOLVBQA-104";0,548241055508939;245,514177253866;0,985054784228156;26;"VOLV";"BQA-";104
"54";"VOLVBQA-105";0,640497999006684;320,852159660653;0,962923819803085;34;"VOLV";"BQA-";105
"55";"VOLVCLO-100";0,782379738170158;795,972833164175;0,980760786372527;35;"VOLV";"CLO-";100
"56";"VOLVCLO-101";0,860930887112397;769,290016191215;0,983159244386124;27;"VOLV";"CLO-";101
"57";"VOLVCLO-102";0,673056863197766;657,008196329284;0,984978894219051;35;"VOLV";"CLO-";102
"58";"VOLVCLO-103";0,716633776301694;576,096998786708;0,98136371021691;30;"VOLV";"CLO-";103
"59";"VOLVCLO-104";0,648395353283853;565,150205874932;0,946874531290479;33;"VOLV";"CLO-";104
"60";"VOLVCLO-105";0,86862694715014;693,471635949297;0,981001570408271;35;"VOLV";"CLO-";105
